ts	name	overrides	status	coding_agg_tps	coding_ttft_p50	longgen_decode_tps	shorts_p50_s	cold_prefill_tps	conc_top_agg_tps	warm_ttft_s	conc_top_decode_p50	conc_top_ttft_max	spec_accept	min_mem_gib	min_clock_mhz	errors	bench_wall_s	foreign_reqs	sanity	cancel	needle	no_errors	mem_floor	clean	clocks	gates_pass	score	receipt	live_env
2026-09-04T18:43:11Z	live-postfix-baseline	(live)	ok	52.050	4.481	34.280	0.531	744.100	104.250	0.431	14.505	2.216	0.576	11.460	2411	0	682.100	0	1	1	1	1	1	1	1	1	1.000	/home/spark/AI/autoresearch-batch4/live-postfix-baseline.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T19:04:54Z	mnbt4096	MAX_NUM_BATCHED_TOKENS=4096 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 DFLASH_TOKENS=3 SWAPPINESS=60	ok	51.660	8.775	34.470	0.603	752.900	110.460	5.036	14.810	2.198	0.569	8.650	2405	0	681.900	0	1	1	1	1	1	1	1	1	0.904	/home/spark/AI/autoresearch-batch4/mnbt4096.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=4096 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T19:26:43Z	seqs12	MAX_NUM_BATCHED_TOKENS=2048 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=12 DFLASH_TOKENS=3 SWAPPINESS=60	ok	51.620	33.428	32.270	0.516	758.000	110.900	2.705	14.805	2.004	0.546	8.040	2392	0	685.600	0	1	1	1	1	1	1	1	1	0.717	/home/spark/AI/autoresearch-batch4/seqs12.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=12  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T19:48:59Z	k4	MAX_NUM_BATCHED_TOKENS=2048 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 DFLASH_TOKENS=4 SWAPPINESS=60	ok	44.900	5.652	28.600	0.535	751.100	105.470	2.500	14.220	1.560	0.463	9.190	2405	0	742.600	0	1	1	1	1	1	1	1	1	0.914	/home/spark/AI/autoresearch-batch4/k4.json	DFLASH_TOKENS=4 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T20:10:46Z	k5	MAX_NUM_BATCHED_TOKENS=2048 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 DFLASH_TOKENS=5 SWAPPINESS=60	ok	55.480	4.623	30.960	0.631	757.800	102.300	2.656	13.830	2.021	0.422	8.960	2398	0	682.800	0	1	1	1	1	1	1	1	1	0.988	/home/spark/AI/autoresearch-batch4/k5.json	DFLASH_TOKENS=5 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T20:32:06Z	util080	MAX_NUM_BATCHED_TOKENS=2048 GPU_MEM_UTIL=0.80 MAX_NUM_SEQS=8 DFLASH_TOKENS=3 SWAPPINESS=60	ok	52.600	19.717	30.870	0.542	755.100	106.910	2.316	14.870	1.750	0.541	4.950	2405	0	689.900	0	1	1	1	1	1	1	1	1	0.774	/home/spark/AI/autoresearch-batch4/util080.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.80 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T20:53:46Z	ring	NCCL_ALGO=Ring MAX_NUM_BATCHED_TOKENS=2048 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 DFLASH_TOKENS=3 SWAPPINESS=60	ok	54.360	5.618	33.060	0.588	756.500	105.700	2.451	14.550	2.338	0.565	9.950	2405	0	677.400	0	1	1	1	1	1	1	1	1	0.969	/home/spark/AI/autoresearch-batch4/ring.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=2048 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
2026-09-04T21:15:47Z	ring-mnbt4096	NCCL_ALGO=Ring MAX_NUM_BATCHED_TOKENS=4096 GPU_MEM_UTIL=0.75 MAX_NUM_SEQS=8 DFLASH_TOKENS=3 SWAPPINESS=60	ok	52.690	8.543	30.570	0.580	763.000	108.910	5.029	14.355	1.751	0.532	8.550	2398	0	693.200	0	1	1	1	1	1	1	1	1	0.893	/home/spark/AI/autoresearch-batch4/ring-mnbt4096.json	DFLASH_TOKENS=3 EXL3_FAT_KERNEL=1 GLM53_MIXED_PREFILL_CHUNK=off GPU_MEM_UTIL=0.75 HOST_SWAPPINESS=60 KV_CACHE_DTYPE=fp8 MAX_NUM_BATCHED_TOKENS=4096 MAX_NUM_SEQS=8  IMAGE=glm53-exl3-c190db1-noidx:candidate
