ts	name	overrides	status	coding_agg_tps	coding_ttft_p50	longgen_decode_tps	shorts_p50_s	cold_prefill_tps	conc_top_agg_tps	warm_ttft_s	conc_top_decode_p50	conc_top_ttft_max	spec_accept	min_mem_gib	errors	bench_wall_s	sanity	cancel	needle	no_errors	mem_floor	gates_pass	score	receipt
2026-09-02T14:28:03Z	live-baseline	(live)	ok	59.690	3.115	26.430	0.482	1009.700	76.770	1.632	25.930	34.517	0.306	0.850	0	662.100	1	1	1	1	0	0	1.000	/home/spark/AI/autoresearch/live-baseline.json
2026-09-02T14:55:36Z	mem080	GPU_MEM_UTIL=0.80	ok	55.390	3.199	25.030	0.711	957.700	75.740	1.499	22.305	31.707	0.302	0.920	0	706.700	1	1	1	1	0	0	1.000	/home/spark/AI/autoresearch/mem080.json
